AZ,374535.0010000051
AR,193522.34400000333
NY,1462613.5139991806
ID,153334.94799999607
VA,621038.0180000503
MS,177738.732000001
OR,315609.31700000295
IL,917850.898000087
ME,117767.51699999682
VT,63740.41399999761
KS,165177.00700000336
TX,1571538.1459996859
OH,932903.9780001293
SD,79041.42099999776
WV,120043.48399999685
DC,83107.02099999861
NM,129284.50899999458
NV,218066.95799999897
CA,2116014.869999881
FL,1223359.015999764
CO,392615.70100001374
IA,260761.24400000618
WI,405848.10200000735
IN,510692.12900002394
RI,42025.294999999605
NJ,770245.8890000767
NH,118050.56199999816
MA,498979.3750000281
ND,71153.4639999984
OK,233282.96600000092
SC,316773.901000015
UT,197433.53699999934
WA,468077.6860000153
PA,1038728.8300001476
LA,266185.57800000906
AK,19660.48899999988
MT,98023.93899999799
MN,418350.80700002133
AL,311517.1890000226
MO,382199.63200002257
HI,29509.620000000203
NC,661981.6220000666
DE,120435.34099999977
KY,529382.5930000197
GA,631912.4870000556
TN,484669.88600002136
CT,263702.9210000093
NE,153129.76600000213
WY,64867.0999999987
MI,704540.642000086
MD,364605.7390000125
