DE,HI,17.878
WA,NV,19508.882
WA,SD,874.529
WA,SC,4289.057
WV,CA,6289.293
MI,DE,1382.811
MI,DC,489.773
RI,KY,1102.646
OR,HI,168.174
RI,KS,470.152
CO,NY,10480.403
MS,VT,349.858
CO,NV,11005.636
CO,NH,1286.99
CO,NJ,8960.03
CO,NM,1795.279
AK,GA,571.426
MS,VA,3283.122
CO,NC,7072.014
CO,NE,3697.082
CO,ND,686.848
TX,LA,11743.659
VA,MA,9150.722
VA,ME,5805.961
VA,MD,30423.949
VA,MI,11155.361
VA,MO,7054.461
VA,MN,8903.706
VA,MS,3513.379
VA,MT,786.883
WY,OH,2267.632
WY,OK,728.17
NJ,OH,35390.338
NJ,OK,5726.599
NJ,OR,3498.821
TN,AK,122.661
MN,ND,1971.233
MN,NE,3452.403
NM,OR,1231.842
NH,OR,717.561
MN,NC,7614.798
MN,NM,690.643
MN,NH,1359.771
UT,KS,3478.043
MN,NJ,11812.614
MN,NV,2592.804
TN,KY,24222.392
MD,CT,4193.656
TN,KS,8827.518
MN,NY,11600.15
NH,OH,6036.083
ND,ND,2434.584
NV,WY,527.277
SD,MS,359.372
IA,TX,13489.374
SD,MT,325.582
AR,TX,30716.474
UT,MS,886.02
NH,AR,379.994
NY,GA,33137.942
NV,WV,349.596
RI,DE,95.849
SD,MA,888.436
NV,WI,2318.52
UT,MI,2697.942
NH,AK,29.647
SD,ME,301.703
SD,MD,714.8
PA,LA,3296.238
SD,MI,1597.171
NV,WA,10376.8
UT,MA,1769.027
UT,ME,731.881
UT,MD,1266.703
ME,SC,1557.05
ND,HI,16.75
ME,SD,211.715
IA,AK,41.485
SD,SC,1043.714
LA,WA,2126.217
NE,HI,26.874
NV,KY,2724.56
VT,LA,212.273
NV,KS,2247.777
NE,NE,7706.566
NE,NJ,3268.671
ID,IL,5340.767
ID,IN,2640.322
IN,AL,3607.052
ID,IA,1221.086
WA,AZ,13631.157
DE,IL,3664.641
CA,DC,1496.671
MA,PA,42925.774
DE,IN,2858.26
DE,OR,464.765
GA,FL,43234.205
DE,OK,897.026
DE,OH,6940.971
RI,CO,257.547
IL,VA,16964.529
MT,IA,963.772
MT,IN,1771.216
VA,NV,2755.227
MT,IL,4195.929
