WA,332183.097
DE,66664.742
DC,23495.047
WI,522324.432
WV,125008.675
HI,10710.811
FL,834122.637
WY,21906.323
NH,84304.475
NJ,1169634.254
NM,42836.226
TX,1474982.331
LA,107313.739
AK,5591.813
NC,599457.944
ND,30086.615
NE,114388.673
TN,945236.652
NY,880153.574
PA,1341164.999
RI,56169.967
NV,285748.671
VA,605292.908
CO,284512.017
CA,2412760.937
AL,168001.011
AR,98610.47
VT,46423.155
IL,1213251.867
GA,770048.071
IN,670704.834
IA,200306.537
OK,212226.116
AZ,389874.099
ID,64342.135
CT,229969.761
ME,143914.611
MD,364070.354
MA,358811.405
OH,1197189.405
UT,242586.126
MO,323294.227
MN,450408.737
MI,485213.98
KS,377973.222
MT,37649.953
MS,124374.0
SC,379770.281
KY,675228.531
OR,221412.99
SD,43923.708
