Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,123,Minnesota,Aitkin County,Minnesota,Ramsey County,22,14,76,49,-54,53,98,48,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,137,Minnesota,Aitkin County,Minnesota,St. Louis County,21,17,31,40,-10,46,52,42,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,139,Minnesota,Aitkin County,Minnesota,Scott County,3,4,0,20,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,141,Minnesota,Aitkin County,Minnesota,Sherburne County,26,20,0,20,26,20,26,20,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,143,Minnesota,Aitkin County,Minnesota,Sibley County,8,15,0,14,8,15,8,15,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,145,Minnesota,Aitkin County,Minnesota,Stearns County,6,8,8,12,-2,15,14,15,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,149,Minnesota,Aitkin County,Minnesota,Stevens County,0,14,12,17,-12,17,12,17,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,153,Minnesota,Aitkin County,Minnesota,Todd County,4,6,6,8,-2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,159,Minnesota,Aitkin County,Minnesota,Wadena County,0,14,19,25,-19,25,19,25,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,163,Minnesota,Aitkin County,Minnesota,Washington County,22,25,10,14,12,30,32,27,,,,,,,,,,,,,,,,,,,,,,,,
027,001,027,171,Minnesota,Aitkin County,Minnesota,Wright County,4,4,0,20,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
027,001,030,031,Minnesota,Aitkin County,Montana,Gallatin County,0,14,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
027,001,030,073,Minnesota,Aitkin County,Montana,Pondera County,0,14,6,8,-6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
027,001,032,003,Minnesota,Aitkin County,Nevada,Clark County,6,8,0,31,6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
027,001,033,003,Minnesota,Aitkin County,New Hampshire,Carroll County,2,2,0,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
027,001,034,023,Minnesota,Aitkin County,New Jersey,Middlesex County,8,14,0,28,8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
027,001,036,071,Minnesota,Aitkin County,New York,Orange County,0,14,30,47,-30,47,30,47,,,,,,,,,,,,,,,,,,,,,,,,
027,001,038,017,Minnesota,Aitkin County,North Dakota,Cass County,6,9,0,20,6,9,6,9,,,,,,,,,,,,,,,,,,,,,,,,
027,001,042,095,Minnesota,Aitkin County,Pennsylvania,Northampton County,3,4,0,24,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
027,001,042,133,Minnesota,Aitkin County,Pennsylvania,York County,0,14,11,16,-11,16,11,16,,,,,,,,,,,,,,,,,,,,,,,,
027,001,046,011,Minnesota,Aitkin County,South Dakota,Brookings County,1,3,0,20,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
027,001,046,111,Minnesota,Aitkin County,South Dakota,Sanborn County,1,3,0,9,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
027,001,048,091,Minnesota,Aitkin County,Texas,Comal County,4,4,0,30,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
027,001,048,141,Minnesota,Aitkin County,Texas,El Paso County,1,3,0,30,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
027,001,049,003,Minnesota,Aitkin County,Utah,Box Elder County,39,60,0,27,39,60,39,60,,,,,,,,,,,,,,,,,,,,,,,,
027,001,051,810,Minnesota,Aitkin County,Virginia,Virginia Beach city,1,3,0,29,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
027,001,053,065,Minnesota,Aitkin County,Washington,Stevens County,14,20,0,25,14,20,14,20,,,,,,,,,,,,,,,,,,,,,,,,
027,001,055,031,Minnesota,Aitkin County,Wisconsin,Douglas County,0,14,2,4,-2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
027,001,055,081,Minnesota,Aitkin County,Wisconsin,Monroe County,0,14,12,19,-12,19,12,19,,,,,,,,,,,,,,,,,,,,,,,,
027,001,055,101,Minnesota,Aitkin County,Wisconsin,Racine County,1,4,0,22,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
027,001,ASI,000,Minnesota,Aitkin County,Asia,-,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027,001,CAM,000,Minnesota,Aitkin County,Central America,-,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027,001,EUR,000,Minnesota,Aitkin County,Europe,-,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027,003,001,069,Minnesota,Anoka County,Alabama,Houston County,35,47,0,27,35,47,35,47,,,,,,,,,,,,,,,,,,,,,,,,
027,003,001,125,Minnesota,Anoka County,Alabama,Tuscaloosa County,29,43,0,27,29,43,29,43,,,,,,,,,,,,,,,,,,,,,,,,
027,003,002,020,Minnesota,Anoka County,Alaska,Anchorage Municipality,37,51,0,22,37,51,37,51,,,,,,,,,,,,,,,,,,,,,,,,
