Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,137,Kentucky,Adair County,Kentucky,Lincoln County,22,27,0,21,22,27,22,27,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,141,Kentucky,Adair County,Kentucky,Logan County,7,15,0,21,7,15,7,15,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,145,Kentucky,Adair County,Kentucky,McCracken County,3,7,0,27,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,147,Kentucky,Adair County,Kentucky,McCreary County,15,19,0,18,15,19,15,19,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,149,Kentucky,Adair County,Kentucky,McLean County,4,9,0,16,4,9,4,9,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,151,Kentucky,Adair County,Kentucky,Madison County,20,26,8,15,12,30,28,30,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,155,Kentucky,Adair County,Kentucky,Marion County,13,19,11,19,2,28,24,26,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,161,Kentucky,Adair County,Kentucky,Mason County,36,41,0,18,36,41,36,41,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,163,Kentucky,Adair County,Kentucky,Meade County,0,18,37,59,-37,59,37,59,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,169,Kentucky,Adair County,Kentucky,Metcalfe County,0,18,17,26,-17,26,17,26,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,175,Kentucky,Adair County,Kentucky,Morgan County,0,18,6,11,-6,11,6,11,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,179,Kentucky,Adair County,Kentucky,Nelson County,33,41,0,24,33,41,33,41,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,185,Kentucky,Adair County,Kentucky,Oldham County,5,9,0,27,5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,199,Kentucky,Adair County,Kentucky,Pulaski County,0,18,33,51,-33,51,33,51,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,207,Kentucky,Adair County,Kentucky,Russell County,107,68,33,30,74,73,140,75,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,209,Kentucky,Adair County,Kentucky,Scott County,57,90,0,24,57,90,57,90,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,217,Kentucky,Adair County,Kentucky,Taylor County,29,35,55,69,-26,78,84,76,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,225,Kentucky,Adair County,Kentucky,Union County,0,18,11,18,-11,18,11,18,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,227,Kentucky,Adair County,Kentucky,Warren County,4,8,80,114,-76,115,84,114,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,229,Kentucky,Adair County,Kentucky,Washington County,7,10,46,75,-39,75,53,75,,,,,,,,,,,,,,,,,,,,,,,,
021,001,021,231,Kentucky,Adair County,Kentucky,Wayne County,32,52,23,38,9,64,55,65,,,,,,,,,,,,,,,,,,,,,,,,
021,001,024,001,Kentucky,Adair County,Maryland,Allegany County,18,28,0,29,18,28,18,28,,,,,,,,,,,,,,,,,,,,,,,,
021,001,024,005,Kentucky,Adair County,Maryland,Baltimore County,5,8,0,29,5,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,
021,001,024,510,Kentucky,Adair County,Maryland,Baltimore city,5,9,0,29,5,9,5,9,,,,,,,,,,,,,,,,,,,,,,,,
021,001,036,045,Kentucky,Adair County,New York,Jefferson County,0,18,27,41,-27,41,27,41,,,,,,,,,,,,,,,,,,,,,,,,
021,001,036,061,Kentucky,Adair County,New York,New York County,0,18,61,62,-61,62,61,62,,,,,,,,,,,,,,,,,,,,,,,,
021,001,036,067,Kentucky,Adair County,New York,Onondaga County,4,8,0,28,4,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,
021,001,037,111,Kentucky,Adair County,North Carolina,McDowell County,0,18,20,31,-20,31,20,31,,,,,,,,,,,,,,,,,,,,,,,,
021,001,039,103,Kentucky,Adair County,Ohio,Medina County,8,14,0,27,8,14,8,14,,,,,,,,,,,,,,,,,,,,,,,,
021,001,039,165,Kentucky,Adair County,Ohio,Warren County,17,34,0,27,17,34,17,34,,,,,,,,,,,,,,,,,,,,,,,,
021,001,045,039,Kentucky,Adair County,South Carolina,Fairfield County,13,23,0,24,13,23,13,23,,,,,,,,,,,,,,,,,,,,,,,,
021,001,045,051,Kentucky,Adair County,South Carolina,Horry County,2,4,0,30,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
021,001,047,113,Kentucky,Adair County,Tennessee,Madison County,1,3,0,29,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,
021,001,047,125,Kentucky,Adair County,Tennessee,Montgomery County,0,18,21,32,-21,32,21,32,,,,,,,,,,,,,,,,,,,,,,,,
021,001,049,035,Kentucky,Adair County,Utah,Salt Lake County,3,6,0,27,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
021,001,051,775,Kentucky,Adair County,Virginia,Salem city,32,49,0,23,32,49,32,49,,,,,,,,,,,,,,,,,,,,,,,,
021,001,054,039,Kentucky,Adair County,West Virginia,Kanawha County,5,10,0,27,5,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,
021,001,055,027,Kentucky,Adair County,Wisconsin,Dodge County,0,18,11,17,-11,17,11,17,,,,,,,,,,,,,,,,,,,,,,,,
021,001,055,059,Kentucky,Adair County,Wisconsin,Kenosha County,8,11,0,22,8,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,
