Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
053,001,053,063,Washington,Adams County,Washington,Spokane County,47,50,138,96,-91,93,185,121,,,,,,,,,,,,,,,,,,,,,,,,
053,001,053,065,Washington,Adams County,Washington,Stevens County,7,11,0,25,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,
053,001,053,067,Washington,Adams County,Washington,Thurston County,0,19,10,19,-10,19,10,19,,,,,,,,,,,,,,,,,,,,,,,,
053,001,053,073,Washington,Adams County,Washington,Whatcom County,51,52,6,11,45,53,57,53,,,,,,,,,,,,,,,,,,,,,,,,
053,001,053,075,Washington,Adams County,Washington,Whitman County,5,7,93,72,-88,72,98,72,,,,,,,,,,,,,,,,,,,,,,,,
053,001,053,077,Washington,Adams County,Washington,Yakima County,0,19,34,41,-34,41,34,41,,,,,,,,,,,,,,,,,,,,,,,,
053,001,055,057,Washington,Adams County,Wisconsin,Juneau County,0,19,2,3,-2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
053,001,ASI,000,Washington,Adams County,Asia,-,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053,001,CAM,000,Washington,Adams County,Central America,-,33,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053,001,EUR,000,Washington,Adams County,Europe,-,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053,001,SAM,000,Washington,Adams County,South America,-,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053,003,002,170,Washington,Asotin County,Alaska,Matanuska-Susitna Borough,0,22,6,8,-6,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,
053,003,002,220,Washington,Asotin County,Alaska,Sitka City and Borough,12,17,0,13,12,17,12,17,,,,,,,,,,,,,,,,,,,,,,,,
053,003,004,003,Washington,Asotin County,Arizona,Cochise County,0,22,16,24,-16,24,16,24,,,,,,,,,,,,,,,,,,,,,,,,
053,003,004,013,Washington,Asotin County,Arizona,Maricopa County,35,41,0,30,35,41,35,41,,,,,,,,,,,,,,,,,,,,,,,,
053,003,004,021,Washington,Asotin County,Arizona,Pinal County,25,32,0,30,25,32,25,32,,,,,,,,,,,,,,,,,,,,,,,,
053,003,006,037,Washington,Asotin County,California,Los Angeles County,56,69,0,29,56,69,56,69,,,,,,,,,,,,,,,,,,,,,,,,
053,003,006,065,Washington,Asotin County,California,Riverside County,65,72,0,29,65,72,65,72,,,,,,,,,,,,,,,,,,,,,,,,
053,003,006,073,Washington,Asotin County,California,San Diego County,6,11,40,39,-34,40,46,40,,,,,,,,,,,,,,,,,,,,,,,,
053,003,006,083,Washington,Asotin County,California,Santa Barbara County,2,4,0,29,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
053,003,008,065,Washington,Asotin County,Colorado,Lake County,0,22,31,54,-31,54,31,54,,,,,,,,,,,,,,,,,,,,,,,,
053,003,013,051,Washington,Asotin County,Georgia,Chatham County,51,71,0,31,51,71,51,71,,,,,,,,,,,,,,,,,,,,,,,,
053,003,015,003,Washington,Asotin County,Hawaii,Honolulu County,0,22,10,15,-10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
053,003,015,009,Washington,Asotin County,Hawaii,Maui County,0,22,16,25,-16,25,16,25,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,001,Washington,Asotin County,Idaho,Ada County,19,22,9,15,10,26,28,27,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,005,Washington,Asotin County,Idaho,Bannock County,0,22,8,11,-8,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,015,Washington,Asotin County,Idaho,Boise County,10,15,0,16,10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,027,Washington,Asotin County,Idaho,Canyon County,10,15,0,27,10,15,10,15,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,035,Washington,Asotin County,Idaho,Clearwater County,61,69,102,101,-41,120,163,124,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,047,Washington,Asotin County,Idaho,Gooding County,13,22,0,18,13,22,13,22,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,049,Washington,Asotin County,Idaho,Idaho County,9,14,11,13,-2,21,20,17,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,055,Washington,Asotin County,Idaho,Kootenai County,0,22,64,80,-64,80,64,80,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,057,Washington,Asotin County,Idaho,Latah County,73,70,97,73,-24,102,170,101,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,061,Washington,Asotin County,Idaho,Lewis County,77,69,7,7,70,68,84,70,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,069,Washington,Asotin County,Idaho,Nez Perce County,749,316,394,145,355,329,"1,143",366,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,073,Washington,Asotin County,Idaho,Owyhee County,0,22,32,32,-32,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,
053,003,016,079,Washington,Asotin County,Idaho,Shoshone County,0,22,5,7,-5,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,
053,003,017,073,Washington,Asotin County,Illinois,Henry County,0,22,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
053,003,017,089,Washington,Asotin County,Illinois,Kane County,0,22,10,17,-10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
053,003,018,141,Washington,Asotin County,Indiana,St. Joseph County,0,22,9,14,-9,14,9,14,,,,,,,,,,,,,,,,,,,,,,,,
053,003,022,017,Washington,Asotin County,Louisiana,Caddo Parish,0,22,10,18,-10,18,10,18,,,,,,,,,,,,,,,,,,,,,,,,
053,003,027,103,Washington,Asotin County,Minnesota,Nicollet County,20,30,0,18,20,30,20,30,,,,,,,,,,,,,,,,,,,,,,,,
053,003,028,045,Washington,Asotin County,Mississippi,Hancock County,20,28,0,26,20,28,20,28,,,,,,,,,,,,,,,,,,,,,,,,
053,003,030,025,Washington,Asotin County,Montana,Fallon County,0,22,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
053,003,030,029,Washington,Asotin County,Montana,Flathead County,0,22,14,23,-14,23,14,23,,,,,,,,,,,,,,,,,,,,,,,,
053,003,030,031,Washington,Asotin County,Montana,Gallatin County,10,17,0,23,10,17,10,17,,,,,,,,,,,,,,,,,,,,,,,,
053,003,030,053,Washington,Asotin County,Montana,Lincoln County,0,22,1,2,-1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
053,003,030,093,Washington,Asotin County,Montana,Silver Bow County,5,8,7,14,-2,17,12,16,,,,,,,,,,,,,,,,,,,,,,,,
053,003,036,027,Washington,Asotin County,New York,Dutchess County,14,22,0,28,14,22,14,22,,,,,,,,,,,,,,,,,,,,,,,,
053,003,036,055,Washington,Asotin County,New York,Monroe County,0,22,12,18,-12,18,12,18,,,,,,,,,,,,,,,,,,,,,,,,
053,003,038,047,Washington,Asotin County,North Dakota,Logan County,0,22,7,10,-7,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,
