Table with column headers in rows 2 through 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,,,,,,,,,,,,,,,,,,,,,,,
031,001,029,077,Nebraska,Adams County,Missouri,Greene County,14,23,0,26,14,23,14,23,,,,,,,,,,,,,,,,,,,,,,,,
031,001,029,147,Nebraska,Adams County,Missouri,Nodaway County,0,20,31,47,-31,47,31,47,,,,,,,,,,,,,,,,,,,,,,,,
031,001,029,510,Nebraska,Adams County,Missouri,St. Louis city,2,3,0,26,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,
031,001,030,049,Nebraska,Adams County,Montana,Lewis and Clark County,0,20,12,19,-12,19,12,19,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,003,Nebraska,Adams County,Nebraska,Antelope County,136,204,2,4,134,203,138,205,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,013,Nebraska,Adams County,Nebraska,Box Butte County,3,4,73,96,-70,96,76,97,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,015,Nebraska,Adams County,Nebraska,Boyd County,0,20,2,4,-2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,019,Nebraska,Adams County,Nebraska,Buffalo County,111,114,124,89,-13,143,235,146,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,023,Nebraska,Adams County,Nebraska,Butler County,2,5,17,21,-15,22,19,22,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,025,Nebraska,Adams County,Nebraska,Cass County,23,22,0,17,23,22,23,22,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,031,Nebraska,Adams County,Nebraska,Cherry County,5,11,0,13,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,033,Nebraska,Adams County,Nebraska,Cheyenne County,20,24,0,15,20,24,20,24,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,035,Nebraska,Adams County,Nebraska,Clay County,406,233,72,33,334,236,478,235,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,037,Nebraska,Adams County,Nebraska,Colfax County,34,57,0,15,34,57,34,57,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,041,Nebraska,Adams County,Nebraska,Custer County,67,104,14,20,53,105,81,107,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,043,Nebraska,Adams County,Nebraska,Dakota County,0,20,32,45,-32,45,32,45,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,045,Nebraska,Adams County,Nebraska,Dawes County,0,20,35,51,-35,51,35,51,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,047,Nebraska,Adams County,Nebraska,Dawson County,22,28,23,36,-1,46,45,44,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,051,Nebraska,Adams County,Nebraska,Dixon County,0,20,5,12,-5,12,5,12,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,053,Nebraska,Adams County,Nebraska,Dodge County,6,7,28,61,-22,62,34,61,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,055,Nebraska,Adams County,Nebraska,Douglas County,150,74,62,51,88,95,212,84,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,059,Nebraska,Adams County,Nebraska,Fillmore County,3,6,0,13,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,061,Nebraska,Adams County,Nebraska,Franklin County,11,11,33,35,-22,37,44,37,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,063,Nebraska,Adams County,Nebraska,Frontier County,4,8,4,5,0,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,067,Nebraska,Adams County,Nebraska,Gage County,43,53,0,17,43,53,43,53,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,071,Nebraska,Adams County,Nebraska,Garfield County,17,27,0,9,17,27,17,27,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,077,Nebraska,Adams County,Nebraska,Greeley County,8,13,0,9,8,13,8,13,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,079,Nebraska,Adams County,Nebraska,Hall County,197,146,102,68,95,161,299,161,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,081,Nebraska,Adams County,Nebraska,Hamilton County,0,20,56,82,-56,82,56,82,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,083,Nebraska,Adams County,Nebraska,Harlan County,0,20,2,4,-2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,089,Nebraska,Adams County,Nebraska,Holt County,0,20,2,5,-2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,093,Nebraska,Adams County,Nebraska,Howard County,0,20,4,7,-4,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,099,Nebraska,Adams County,Nebraska,Kearney County,94,100,40,41,54,91,134,122,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,109,Nebraska,Adams County,Nebraska,Lancaster County,104,56,137,75,-33,87,241,100,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,111,Nebraska,Adams County,Nebraska,Lincoln County,24,28,32,26,-8,38,56,38,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,113,Nebraska,Adams County,Nebraska,Logan County,0,20,3,4,-3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,117,Nebraska,Adams County,Nebraska,McPherson County,0,20,1,4,-1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,119,Nebraska,Adams County,Nebraska,Madison County,3,8,19,31,-16,32,22,32,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,127,Nebraska,Adams County,Nebraska,Nemaha County,0,20,10,9,-10,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,129,Nebraska,Adams County,Nebraska,Nuckolls County,0,20,31,26,-31,26,31,26,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,131,Nebraska,Adams County,Nebraska,Otoe County,30,45,0,15,30,45,30,45,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,137,Nebraska,Adams County,Nebraska,Phelps County,5,8,6,7,-1,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,141,Nebraska,Adams County,Nebraska,Platte County,0,20,17,19,-17,19,17,19,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,143,Nebraska,Adams County,Nebraska,Polk County,0,20,2,5,-2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,145,Nebraska,Adams County,Nebraska,Red Willow County,28,38,0,15,28,38,28,38,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,151,Nebraska,Adams County,Nebraska,Saline County,3,4,3,6,0,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,153,Nebraska,Adams County,Nebraska,Sarpy County,48,57,27,29,21,63,75,65,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,155,Nebraska,Adams County,Nebraska,Saunders County,0,20,3,6,-3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,157,Nebraska,Adams County,Nebraska,Scotts Bluff County,51,78,9,20,42,81,60,79,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,159,Nebraska,Adams County,Nebraska,Seward County,9,11,14,25,-5,27,23,27,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,165,Nebraska,Adams County,Nebraska,Sioux County,30,33,0,9,30,33,30,33,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,173,Nebraska,Adams County,Nebraska,Thurston County,3,7,0,13,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,175,Nebraska,Adams County,Nebraska,Valley County,0,20,6,10,-6,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,181,Nebraska,Adams County,Nebraska,Webster County,41,34,29,27,12,47,70,40,,,,,,,,,,,,,,,,,,,,,,,,
031,001,031,185,Nebraska,Adams County,Nebraska,York County,4,6,4,7,0,9,8,8,,,,,,,,,,,,,,,,,,,,,,,,
031,001,032,003,Nebraska,Adams County,Nevada,Clark County,0,20,135,177,-135,177,135,177,,,,,,,,,,,,,,,,,,,,,,,,
031,001,034,005,Nebraska,Adams County,New Jersey,Burlington County,4,5,0,28,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
031,001,035,047,Nebraska,Adams County,New Mexico,San Miguel County,33,53,0,22,33,53,33,53,,,,,,,,,,,,,,,,,,,,,,,,
031,001,038,035,Nebraska,Adams County,North Dakota,Grand Forks County,2,4,0,20,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,
031,001,042,055,Nebraska,Adams County,Pennsylvania,Franklin County,0,20,9,16,-9,16,9,16,,,,,,,,,,,,,,,,,,,,,,,,
