SLIC,SLIC Name,OpTyp,Desc,Building,Building Name,Region Num,Region Name,District Num,District Name,Facility Latitude,Facility Longitude,Organization Country Cd

5,CRYSTAL LAKE,APT,AIRPORT,600,CRYSTAL LAKE,22,AIR,65,LOUISVILLE AIR,0,0,US

5,CRYSTAL LAKE,APT,AIRPORT,999,CRYSTAL LAKE,22,AIR,65,LOUISVILLE AIR,0,0,US

59,IMPORT HUB,HUB,HUB/CENTRAL SORT,59,UPS AIR CARGO; INC.,13,AMERICAS,46,UPS LATIN AMERICA; INC.,25.8064,-80.3049,US,Miami-Dade
69,EXPORT HUB,HUB,HUB/CENTRAL SORT,59,UPS AIR CARGO; INC.,13,AMERICAS,46,UPS LATIN AMERICA; INC.,25.8064,-80.3049,US,Miami-Dade
101,SPRINGFIELD-COUNTY,PKG,REGULAR PACKAGE CENTER,119,SPRINGFIELD,7,EAST REGION,36,NORTHEAST,42.1433,-72.6247,US,Hampden
101,SPRINGFIELD-COUNTY,PKG,REGULAR PACKAGE CENTER,119,SPRINGFIELD,7,NORTHEAST,37,SO NEW ENGLAND,42.1433,-72.6247,US,Hampden
106,SPRINGFIELD,RRY,RAIL YARD,119,SPRINGFIELD,7,EAST REGION,36,NORTHEAST,42.1433,-72.6247,US,Hampden
106,SPRINGFIELD,RRY,RAIL YARD,119,SPRINGFIELD,7,NORTHEAST,37,SO NEW ENGLAND,42.1433,-72.6247,US,Hampden
108,BRAINTREE - 209 CPU,CPU,CENTRAL PICKUP,249,BROCKTON,7,EAST REGION,36,NORTHEAST,42.0501,-71.0034,US,Plymouth
