AZ,389874.0990000192
AR,98610.46999999465
NY,880153.5740001589
ID,64342.13499999795
VA,605292.9080000324
MS,124373.999999993
OR,221412.99000000718
IL,1213251.866999857
ME,143914.61100000323
VT,46423.15499999812
KS,377973.22200001986
TX,1474982.3309994333
OH,1197189.404999925
SD,43923.7080000006
WV,125008.67499999535
DC,23495.04700000037
NM,42836.22599999901
NV,285748.67100000416
CA,2412760.936998237
FL,834122.6370000998
CO,284512.01700002846
IA,200306.5370000061
WI,522324.43200003746
IN,670704.8340000409
RI,56169.96700000027
NJ,1169634.2540000891
NH,84304.47499999646
MA,358811.40500001813
ND,30086.615000001435
OK,212226.11600000467
SC,379770.2810000102
UT,242586.12600000473
WA,332183.0970000411
PA,1341164.9989999437
LA,107313.73899999524
AK,5591.812999999976
MT,37649.95300000058
MN,450408.73700006906
AL,168001.0110000031
MO,323294.22700002324
HI,10710.81099999971
NC,599457.9440000477
DE,66664.74199999834
KY,675228.5310000604
GA,770048.0710001005
TN,945236.6520000687
CT,229969.76100000393
NE,114388.67299999436
WY,21906.323000000935
MI,485213.98000004893
MD,364070.3540000067
